"Report: Workstation Report"
"Vendor: Petrel"
"Features: All"
"Locations: All"
"Assets: All"
"Workcenters: All"
"Date Range: 2025-10-01 → 2026-03-31"

"Feature","Date/Bucket","Avg Used (rounded (actual))","Avg Total (rounded (actual))","Max Total","Filtered WS Count","Filtered Workstations","All WS Count","All Workstations"
"abc_rwd","2025-10-01","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-02","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-03","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-04","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-05","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-06","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-07","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-08","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-09","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-10","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-11","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-12","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-13","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-14","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-15","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-16","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-17","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-18","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-19","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-20","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-21","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-22","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-23","0 (0.00)","171 (171.00)","171","0","","0",""
"abc_rwd","2025-10-24","0 (0.00)","171 (171.00)","171","0","","0",""
